Product Name,Original Price,Clearance Price,Percentage Off,Product Category,Product Code,Rating,Link,Sale Price
Bluehive 4-port Power Station,51.99,12.93,75.0,car-care-accessories,035-5304-6,4.0,https://www.canadiantire.ca/en/pdp/bluehive-4-port-power-station-0355304p.html#srp,
"Greenies Original Teenie Oral Care Dental Dog Treats, 170-g",9.99,6.43,36.0,pet-care,142-5662-6,4.5,https://www.canadiantire.ca/en/pdp/greenies-original-teenie-oral-care-dental-dog-treats-170-g-1425662p.html#srp,
"Chrome Clearance Light, Amber",7.99,3.93,51.0,automotive-outdoor-adventure,020-3409-4,2.5,https://www.canadiantire.ca/en/pdp/chrome-clearance-light-amber-0203409p.html#srp,
"Chrome Clearance Light, Red",7.99,3.93,51.0,automotive-outdoor-adventure,020-3410-8,0.0,https://www.canadiantire.ca/en/pdp/chrome-clearance-light-red-0203410p.html#srp,
"Vida by PADERNO Everyday Series Non-Stick Cookware Set, PFOA-Free, Oven Safe, Black, 10-pc",499.99,89.93,82.0,kitchen,142-6306-0,4.0,https://www.canadiantire.ca/en/pdp/vida-by-paderno-everyday-series-non-stick-cookware-set-pfoa-free-oven-safe-black-10-pc-1426306p.html#srp,
Amber Cab Marker,7.29,0.93,87.0,automotive-outdoor-adventure,020-3472-0,0.0,https://www.canadiantire.ca/en/pdp/amber-cab-marker-0203472p.html#srp,
"For Living Plateau Tank-In Outdoor Fire Pit Table, 40,000 BTU",489.99,199.99,59.0,backyard-living,085-1570-4,3.9,https://www.canadiantire.ca/en/pdp/for-living-plateau-tank-in-outdoor-fire-pit-table-40-000-btu-0851570p.html#srp,
"Outbound Kids Cove Closed Toe Hiking Shoes/Sandals with Durable Outsole, Grey/Green",39.99,14.93,63.0,footwear-apparel,187-2778X,3.7,https://www.canadiantire.ca/en/pdp/outbound-kids-cove-closed-toe-hiking-shoes-sandals-with-durable-outsole-grey-green-1872778p.html#srp,
"Technoform Laundry Tub Conversion Kit, Black",28.99,4.93,83.0,plumbing,063-9885-0,0.0,https://www.canadiantire.ca/en/pdp/technoform-laundry-tub-conversion-kit-black-0639885p.html#srp,
Coleman Cookout 4-Burner Propane Gas BBQ Grill with Side Burner & Storage Shelves,589.99,374.99,36.0,backyard-living,085-3182-6,3.4,https://www.canadiantire.ca/en/pdp/coleman-cookout-4-burner-propane-gas-bbq-grill-with-side-burner-storage-shelves-0853182p.html#srp,
"Klassen Garage Sale Sign, 9 x 12-in",4.99,0.43,91.0,hardware,046-3122-4,0.0,https://www.canadiantire.ca/en/pdp/klassen-garage-sale-sign-9-x-12-in-0463122p.html#srp,
"Klassen For Sale By Owner Sign, 9 x 12-in",4.99,0.43,91.0,hardware,046-3121-6,0.0,https://www.canadiantire.ca/en/pdp/klassen-for-sale-by-owner-sign-9-x-12-in-0463121p.html#srp,
"Klassen For Sale Inquire Sign, 8 x 12-in",2.19,0.23,89.0,hardware,046-3117-8,0.0,https://www.canadiantire.ca/en/pdp/klassen-for-sale-inquire-sign-8-x-12-in-0463117p.html#srp,
"Hillman 851808 Low Done Floor Door Stop, Assorted Finishes, 1-pk",,5.99,,,046-1854X,3.4,https://www.canadiantire.ca/en/pdp/hillman-851808-low-done-floor-door-stop-assorted-finishes-1-pk-0461853p.html#srp,
