Product Name,Original Price,Sale Price,Percentage Off,Product Category,Product Code,Rating,Link
Bissell Little Green ProHeat® Pet Portable Carpet & Upholstery Deep Cleaner,169.99,109.99,35.0,cleaning,043-6962-2,4.1,https://www.canadiantire.ca/en/pdp/bissell-little-green-proheat-pet-portable-carpet-upholstery-deep-cleaner-0436962p.html#srp
"Stanley Professional Grade Black Chrome Socket Set, 183-pc, SAE/Metric",499.99,129.99,74.0,tools,058-9287-8,4.5,https://www.canadiantire.ca/en/pdp/stanley-professional-grade-black-chrome-socket-set-183-pc-sae-metric-0589287p.html#srp
"Woods Outdoor Collapsible Folding Utility Standard Wagon w/ Carry Bag, 150 lb Capacity, Black",159.99,119.99,25.0,camping,076-5541-2,4.5,https://www.canadiantire.ca/en/pdp/woods-outdoor-collapsible-folding-utility-standard-wagon-w-carry-bag-150-lb-capacity-black-0765541p.html#srp
"Champion 3650/4550 Watt Portable Generator, RV Ready",799.99,499.99,38.0,outdoor-tools,055-0370-8,4.8,https://www.canadiantire.ca/en/pdp/champion-3650-4550-watt-portable-generator-rv-ready-0550370p.html#srp
"type A Transparent Storage Box with Lid and Snap-In Wheels, 80-L",24.99,12.49,50.0,home-organization,142-1282-4,4.1,https://www.canadiantire.ca/en/pdp/type-a-transparent-storage-box-with-lid-and-snap-in-wheels-80-l-1421282p.html#srp
"Outbound 3-Piece Hardside Spinner Wheel Travel Luggage Suitcase Set, Assorted",459.99,159.99,65.0,camping,076-0860-2,3.6,https://www.canadiantire.ca/en/pdp/outbound-3-piece-hardside-spinner-wheel-travel-luggage-suitcase-set-assorted-0760860p.html#srp
"type A Restore Stackable Storage Box with Lid, 68-L, Red",15.99,7.99,50.0,home-organization,142-4911-0,4.0,https://www.canadiantire.ca/en/pdp/type-a-restore-stackable-storage-box-with-lid-68-l-red-1424911p.html#srp
"Mastercraft Grade 1A Aluminum Multi-Task Ladder, 21-ft, 300-lb",449.99,219.99,51.0,hardware,061-1056-6,4.5,https://www.canadiantire.ca/en/pdp/mastercraft-grade-1a-aluminum-multi-task-ladder-21-ft-300-lb-0611056p.html#srp
"FoodSaver® Vacuum Sealer w/ Roll Storage, Easy Storage, Satin",204.99,69.99,66.0,kitchen,043-0780-0,4.1,https://www.canadiantire.ca/en/pdp/foodsaver-vacuum-sealer-w-roll-storage-easy-storage-satin-0430780p.html#srp
"JumpTek Outdoor Round Trampoline with Safety Enclosure,12-ft",479.99,299.99,38.0,backyard-fun,084-0211-8,4.1,https://www.canadiantire.ca/en/pdp/jumptek-outdoor-round-trampoline-with-safety-enclosure-12-ft-0840211p.html#srp
